id,price,beds,bathrooms,area,price_per_sqm,title,location,listing_date,listing_url,verified,deal_score,deal_label,deal_reasons,analyzed_at,is_actionable
aHR0cHM6Ly93,5382000,3,3,180,29900,Green Home,"Sky Capital, New Capital City•",2 days ago,https://www.dubizzle.com.egnull,No,7,Normal 🟡,"Good PPM 💰, Optimal Size 📐, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,6500000,3,3,165,39394,Remax Avalon,"Mountain View iCity Compound, 5th Settlement•",8 minutes ago,https://www.dubizzle.com.egnull,No,5,Normal 🟡,"Optimal Size 📐, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,15000000,3,3,305,49180,Property Hills One 1,"Mountain View Hyde Park Compound, 5th Settlement•",9 minutes ago,https://www.dubizzle.com.egnull,No,4,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,27000000,3,2,231,116883,Egy Property,"The Waterway Compound, 5th Settlement•",10 minutes ago,https://www.dubizzle.com.egnull,No,2,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,11000000,2,2,124,88710,"YOUR APARTMENT IN THE HEART OF R7 AT SKY CAPITAL NEAR THE GREEN RIVER WITH 5%
DOWN PAYMENT AND PAYMENT PLANS UP TO 8 YEARS IN THE NEW CAPITAL","The View Compound, 1st Settlement•",18 minutes ago,https://www.dubizzle.com.egnull,No,0,Normal 🟡,,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,8500000,3,3,148,57432,"UNDER MARKET PRICE READY TO MOVE 3 BEDROOMS APARTMENT FOR SALE IN MOUNTAIN VIEW
ICITY COMPOUND - FIFTH SETTLEMENT","Hyde Park New Cairo Compound, 5th Settlement•",26 minutes ago,https://www.dubizzle.com.egnull,No,1,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,2600000,3,2,110,23636,"PRIME VIEW IVILLA ROOF CORNER FOR SALE AT MOUNTAIN VIEW HYDE PARK COMPOUND NEW
CAIRO","Sarai, Mostakbal City•",38 minutes ago,https://www.dubizzle.com.egnull,No,11,Good Deal 🟢,"Exceptional PPM 🔥, Budget Friendly 💚, Family Size 🛏, Double Value Bonus 💎",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,8500000,3,3,161,52795,"GROUND APARTMENT GARDEN FULLY FINISHED WITH FURNISHED, APPLIANCES AT WATERWAY 1,
GARDEN 40M, BUA 231M","Galleria Moon Valley Compound, 5th Settlement•",55 minutes ago,https://www.dubizzle.com.egnull,No,3,Normal 🟡,"Optimal Size 📐, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,8500000,3,2,233,36481,"PENTHOUSE FULLY FINISHED READY TO MOVE FOR SALE AT THE VIEW, BUA 124M, 2
BEDROOMS, 2 BATHROOMS, WITH INSTALLMENTS","Sarayat El Katameya, Katameya•",56 minutes ago,https://www.dubizzle.com.egnull,No,4,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,12812000,3,4,190,67432,"FULLY FINISHED READY TO MOVE LOWEST PRICE IN MARKET APARTMENT FOR SALE IN HYDE
PARK COMPOUND FIFTH SETTLEMENT NEW CAIRO","Zed East Compound, 6th Settlement•",1 hour ago,https://www.dubizzle.com.egnull,No,4,Normal 🟡,"Optimal Size 📐, Family Size 🛏, New Listing ⚡",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,7838550,2,2,131,59836,DIRECTLY ON THE SUEZ ROAD AND WALL BY WALL WITH MADINATY,"Zed East Compound, 6th Settlement•",1 hour ago,https://www.dubizzle.com.egnull,No,1,Normal 🟡,New Listing ⚡,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,11500000,3,3,200,57500,"A PREMIUM OPPORTUNITY TO OWN A LUXURIOUS APARTMENT IN GALLERIA MOON VALLEY, ONE
OF THE MOST PRESTIGIOUS RESIDENTIAL COMPOUNDS THAT PERFECTLY COMBINES","EL Patio ORO Compound, 5th Settlement•",1 minute ago,https://www.dubizzle.com.egnull,No,3,Normal 🟡,"Optimal Size 📐, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,13500000,3,3,178,75843,"A GREAT OPPORTUNITY TO OWN A GENEROUSLY SIZED APARTMENT IN A WELL-ESTABLISHED
AND QUIET COMPOUND IN KATAMEYA. THE UNIT OFFERS A PRACTICAL","Privado, Madinaty•",1 minute ago,https://www.dubizzle.com.egnull,No,3,Normal 🟡,"Optimal Size 📐, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,7992000,3,3,222,36000,"FULLY FINISHED WITH AC’S AND KITCHEN CABINETS PRIME LOCATION LANDSCAPE VIEW 3
BEDROOMS DUPLEX FOR SALE AT ZED EAST COMPOUND ORA NEW CAIRO","Gharb Golf & Extension Compound, Katameya•",1 minute ago,https://www.dubizzle.com.egnull,No,4,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,4650000,3,3,165,28182,"UNDER MARKET PRICE DOWNPAYMENT AND INSTALLMENTS PRIME LOCATION 2 BEDROOMS
APARTMENT FOR SALE AT ZED EAST COMPOUND ORA NEW CAIRO","Bloomfields, Mostakbal City•",0 minutes ago,https://www.dubizzle.com.egnull,No,8,Good Deal 🟢,"Good PPM 💰, Optimal Size 📐, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,5650000,3,4,230,24565,PATIO ORO APARTMENT FOR SALE PRIME LOCATION WATER FEATURES AND GREENERY,"Al Andalous, 5th Settlement•",3 minutes ago,https://www.dubizzle.com.egnull,No,8,Good Deal 🟢,"Exceptional PPM 🔥, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,4565200,3,3,202,22600,"APARTMENT AT A BARGAIN PRICE FOR SALE WITH AN AREA OF: 178 METERS AND A GARDEN
OF 65 METERS IN PRIVADO – MADINATY A RARE OPPORTUNITY FOR UPSCALE LIVING OR
GUARANTEED INVESTMENT WITHIN THE PRIVADO MADINATY COMPOUND","Beit Al Watan, 5th Settlement•",4 minutes ago,https://www.dubizzle.com.egnull,No,9,Good Deal 🟢,"Exceptional PPM 🔥, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,8650000,6,3,425,20353,"APARTMENT FOR SALE IN WEST GOLF EXTENSION, 222M²","8th District, Nasr City•",10 minutes ago,https://www.dubizzle.com.egnull,No,8,Good Deal 🟢,"Exceptional PPM 🔥, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,9000000,3,3,174,51724,"LOWEST PRICE FOR A 165M BAHARY APARTMENT VIEW LANDSCAPE AND WATER FEATURES IN
BLOOMFIELDS TERRACES PHASE - MOSTAKBAL CITY","Stoda Residence, Sheraton•",17 minutes ago,https://www.dubizzle.com.egnull,No,3,Normal 🟡,"Optimal Size 📐, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,3400000,3,2,160,21250,"DUPLEX FOR SALE IN ANDALUS 2, READY IN 6 MONTHS, 230M²","Wesal, Shorouk City•",18 minutes ago,https://www.dubizzle.com.egnull,No,10,Good Deal 🟢,"Exceptional PPM 🔥, Optimal Size 📐, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,10000000,2,2,145,68966,APARTMENT 202M INVESTMENT IN BEIT AL WATAN,"Lake View Residence 2, 5th Settlement•",19 minutes ago,https://www.dubizzle.com.egnull,No,0,Normal 🟡,,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,16500000,3,3,210,78571,شقة سوبر لوكس في مدينك نصر على مسطح دور كامل بمساحة 425,"Hyde Park New Cairo Compound, 5th Settlement•",25 minutes ago,https://www.dubizzle.com.egnull,No,2,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,11900000,4,4,263,45247,"LAST & LARGEST APARTMENT | IMMEDIATE DELIVERY | 176 SQM | FULL FINISHING |
STUNNING CENTRAL PARK VIEW | ONLY 10% DOWN PAYMENT","Mountain View Hyde Park Compound, 5th Settlement•",27 minutes ago,https://www.dubizzle.com.egnull,No,4,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,20000000,5,4,570,35088,APARTMENT FOR SALE IN WOSAL EL-SHOROUK COMPOUND,"Mountain View Hyde Park Compound, 5th Settlement•",26 minutes ago,https://www.dubizzle.com.egnull,No,4,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,14500000,5,5,350,41429,"LOWEST TOTAL PRICE APARTMENT PRIME LOCATION FOR SALE WITH INSTALLMENTS NEAR
DELIVERY LAKE VIEW 2","Mountain View Hyde Park Compound, 5th Settlement•",27 minutes ago,https://www.dubizzle.com.egnull,No,4,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,5250000,2,2,137,38321,"LUXURY DUPLEX IN THE MOST PRESTIGIOUS COMPOUND IN NEW CAIRO, DELIVERY NOW
AVAILABLE, FULLY FINISHED, IN HYDE PARK COMPOUND","Scenario, New Capital City•",30 minutes ago,https://www.dubizzle.com.egnull,No,2,Normal 🟡,,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,2695000,1,2,77,35000,READY WITH AC'S I-VILLA GARDEN FOR SALE IN MOUNTAIN VIEW HYDE PARK NEW CAIRO,"Nakheel, Shorouk City•",31 minutes ago,https://www.dubizzle.com.egnull,No,4,Normal 🟡,Budget Friendly 💚,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,5425000,4,3,204,26593,"READY TO MOVE 570 M CORNER I-VILLA GARDEN FOR SALE IN MOUNTAIN VIEW HYDE PARK
NEW CAIRO","5th Settlement, New Cairo•",33 minutes ago,https://www.dubizzle.com.egnull,No,6,Normal 🟡,"Good PPM 💰, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,6600000,2,2,80,82500,READY TO MOVE I-VILLA GARDEN 350M FOR SALE IN MOUNTAIN VIEW HYDE PARK NEW CAIRO,"Monte Napoleon, Mostakbal City•",33 minutes ago,https://www.dubizzle.com.egnull,No,0,Normal 🟡,,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,8400000,3,2,108,77778,"OPPORTUNITY TO OWN A BARGAIN APARTMENT FOR IMMEDIATE DELIVERY AT AN UNBEATABLE
PRICE WITH ONLY A 10% DOWN PAYMENT IN THE MOST PRESTIGIOUS COMPOUND DIR","Madinaty, Cairo•",34 minutes ago,https://www.dubizzle.com.egnull,No,1,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,3750000,3,1,283,13251,"A HOT DEAL APARTMENT WITH A STUNNING LANDSCAPE VIEW FOR SALE, WITH ONLY 5% DOWN
PAYMENT AT A PRICE THAT WON’T BE REPEATED, IN ONE OF THE MOST PRESTIGI","Al Andalous, 5th Settlement•",36 minutes ago,https://www.dubizzle.com.egnull,No,3,Normal 🟡,Family Size 🛏,2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,4500000,3,2,150,30000,"A BUILT APARTMENT TO BE DELIVERED AT THE END OF THE YEAR, FOR SALE IN AL
TAGAMOA, INSTALLMENT PLAN OVER 4 YEARS.","El Lotus, 5th Settlement•",0 minutes ago,https://www.dubizzle.com.egnull,No,8,Good Deal 🟢,"Good PPM 💰, Optimal Size 📐, Family Size 🛏",2026-04-06T13:16:33.345Z,FALSE
aHR0cHM6Ly93,5200000,2,2,135,38519,"OPPORTUNITY TO OWN A FULLY FINISHED HOTEL-STYLE APARTMENT WITH A STUNNING VIEW
FOR SALE IN THE BEST COMPOUND (A PIECE OF ITALY) IN MOSTAKBAL CITY + GA","IL Bosco, New Capital City•",1 minute ago,https://www.dubizzle.com.egnull,No,2,Normal 🟡,,2026-04-06T13:16:33.345Z,FALSE
